City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
268,Avera,US,33.194,-82.5271,55.4,87,75,8.19,broken clouds
269,Smithers,CA,54.7804,-127.1743,41.0,60,40,13.8,scattered clouds
270,Kaitangata,NZ,-46.2817,169.8464,69.01,63,35,4.0,scattered clouds
271,Altamira,BR,-3.2033,-52.2064,86.0,66,40,2.3,scattered clouds
272,Pevek,RU,69.7008,170.3133,-6.79,87,100,1.61,overcast clouds
273,Brookings,US,44.3114,-96.7984,26.6,86,90,21.85,light snow
274,Gimli,CA,50.6336,-96.9907,15.8,67,100,11.5,overcast clouds
275,Valdemarpils,LV,57.3707,22.5919,19.4,86,0,3.44,light snow
276,A Coruna,ES,43.3713,-8.396,45.0,100,72,3.44,broken clouds
277,Saint Anthony,US,45.0205,-93.218,35.6,87,90,12.66,light snow
278,Hambantota,LK,6.1241,81.1185,73.4,100,75,6.91,broken clouds
279,Nuevo Progreso,MX,23.1667,-97.95,68.0,31,100,8.01,overcast clouds
280,Portland,US,45.5234,-122.6762,50.0,87,90,0.54,overcast clouds
281,Victor Harbor,AU,-35.5667,138.6167,60.01,66,100,11.65,overcast clouds
282,Noshiro,JP,40.2039,140.0242,43.16,72,100,18.19,moderate rain
283,Sao Domingos Do Maranhao,BR,-5.5758,-44.3853,75.24,93,98,2.19,light rain
284,Clyde River,CA,70.4692,-68.5914,-2.2,84,90,0.83,overcast clouds
285,Meulaboh,ID,4.1363,96.1285,76.73,82,98,5.37,overcast clouds
286,Port Shepstone,ZA,-30.7414,30.455,75.33,89,100,4.72,moderate rain
287,Vysokovsk,RU,56.3167,36.55,1.4,85,0,6.71,clear sky
288,Nyurba,RU,63.2842,118.3319,-31.74,83,100,6.15,overcast clouds
289,Sayyan,YE,15.1718,44.3244,44.22,56,0,2.44,clear sky
290,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,-4.0,71,100,6.71,overcast clouds
291,Hualmay,PE,-11.0964,-77.6139,72.91,77,92,7.52,overcast clouds
292,Harsin,IR,34.2721,47.5861,30.2,93,0,4.61,clear sky
293,Hopewell,US,37.3043,-77.2872,51.01,77,43,5.93,scattered clouds
294,Brus Laguna,HN,15.75,-84.4833,80.49,78,44,4.74,light rain
295,Lubumbashi,CD,-11.6609,27.4794,61.43,96,91,5.53,overcast clouds
296,Mar Del Plata,AR,-38.0023,-57.5575,77.0,65,75,13.8,broken clouds
297,Yangambi,CD,0.8102,24.4336,70.92,89,34,2.68,scattered clouds
298,Balabac,PH,7.9868,117.0645,79.63,81,99,5.32,overcast clouds
299,Aliwal North,ZA,-30.6937,26.7114,66.36,78,100,11.95,light rain
300,Amapa,BR,1.0,-52.0,74.21,95,97,4.81,overcast clouds
301,Sinnar,SD,13.5691,33.5672,70.21,23,0,12.82,clear sky
302,Galle,LK,6.0367,80.217,76.19,80,86,2.15,overcast clouds
303,Victoria Point,AU,-27.5833,153.3,81.0,72,31,3.0,scattered clouds
304,College,US,64.8569,-147.8028,17.6,67,90,6.91,light snow
305,Acaponeta,MX,22.4964,-105.3594,87.57,18,71,6.13,broken clouds
306,Cerro De Pasco,PE,-10.6833,-76.2667,44.17,83,100,4.99,light rain
307,Suez,EG,29.9737,32.5263,53.64,49,0,2.06,clear sky
308,Aklavik,CA,68.2191,-135.0107,-11.2,77,100,13.8,overcast clouds
309,Bria,CF,6.5423,21.9863,70.75,28,9,0.96,clear sky
310,Sao Filipe,CV,14.8961,-24.4956,73.08,65,92,13.18,overcast clouds
311,Altagracia De Orituco,VE,9.8601,-66.3814,77.95,71,93,5.57,overcast clouds
312,Faya,SA,18.3851,42.4509,53.6,82,0,4.61,clear sky
313,Hami,CN,42.8,93.45,11.59,77,0,3.2,clear sky
314,Hovd,MN,48.0056,91.6419,-4.49,67,0,1.36,clear sky
315,Puerto Baquerizo Moreno,EC,-0.9,-89.6,78.8,89,20,9.22,few clouds
316,Vostok,RU,46.4856,135.8833,-3.55,93,100,2.37,overcast clouds
317,Mareeba,AU,-17.0,145.4333,78.8,69,99,12.66,overcast clouds
318,Hazro,PK,33.9091,72.4921,46.0,82,0,2.19,clear sky
319,Itapetininga,BR,-23.5917,-48.0531,70.29,91,100,6.87,moderate rain
320,Skjervoy,NO,70.0311,20.9714,39.94,79,100,27.98,overcast clouds
321,Tonstad,NO,58.6626,6.7169,19.4,79,0,5.75,clear sky
322,Zlobin,HR,45.2924,14.6541,37.4,41,0,5.75,clear sky
323,Grimshaw,CA,56.1834,-117.6027,37.4,60,40,17.27,scattered clouds
324,Ancud,CL,-41.8697,-73.8203,57.2,77,75,4.61,light rain
